Source,Destination,Distance (km)
AER,KZN,1506.825604458928
ASF,KZN,1040.4383197669076
ASF,MRV,448.164908709546
CEK,KZN,770.5085001497805
CEK,OVB,1338.6314665862067
DME,KZN,715.6493504840489
DME,NBC,892.3827877543458
DME,TGK,915.2891395770905
DME,UUA,951.4321982829719
EGO,KGD,1171.881495283767
EGO,KZN,1008.2531100895807
GYD,NBC,1685.4265243719858
KGD,EGO,1171.881495283767
KZN,AER,1506.825604458928
KZN,ASF,1040.4383197669076
KZN,CEK,770.5085001497805
KZN,DME,715.6493504840489
KZN,EGO,1008.2531100895807
KZN,LED,1216.8445674824818
KZN,SVX,723.523203520023
LED,KZN,1216.8445674824818
LED,NBC,1372.8864143629512
LED,UUA,1464.056935072568
MRV,ASF,448.164908709546
NBC,DME,892.3827877543458
NBC,GYD,1685.4265243719858
NBC,LED,1372.8864143629512
NBC,SVX,554.703359662419
NJC,SVX,1012.602713576116
NJC,UUA,1557.1718220176438
NUX,SVX,1324.6117527543267
OVB,CEK,1338.6314665862067
OVB,SVX,1370.297258632382
SVX,KZN,723.523203520023
SVX,NBC,554.703359662419
SVX,NJC,1012.602713576116
SVX,NUX,1324.6117527543267
SVX,OVB,1370.297258632382
TGK,DME,915.2891395770905
UUA,DME,951.4321982829719
UUA,LED,1464.056935072568
UUA,NJC,1557.1718220176438
BTK,IKT,488.33962159397527
BTK,OVB,1199.3591559200308
CEK,OVB,1338.6314665862067
HTA,IKT,608.6430610264199
IKT,BTK,488.33962159397527
IKT,HTA,608.6430610264199
IKT,KCK,655.1854494872141
IKT,ODO,882.1865409507233
IKT,OVB,1458.824309959064
IKT,UKX,517.4862726798776
IKT,ULK,1134.5379651044464
IKT,YKS,1860.0151515722384
KCK,IKT,655.1854494872141
MJZ,OVB,1967.4878944895404
ODO,IKT,882.1865409507233
OVB,BTK,1199.3591559200308
OVB,CEK,1338.6314665862067
OVB,IKT,1458.824309959064
UKX,IKT,517.4862726798776
ULK,IKT,1134.5379651044464
YKS,IKT,1860.0151515722384
AYP,LIM,339.9806104707811
CUZ,LIM,585.9080251433812
CUZ,PEM,310.9345705025523
HUU,LIM,258.1561031529866
IQT,PCL,529.5509843237758
IQT,TPP,454.8584413962523
LIM,AYP,339.9806104707811
LIM,CUZ,585.9080251433812
LIM,HUU,258.1561031529866
LIM,PCL,491.3431736689255
LIM,TPP,618.4026366573572
PCL,IQT,529.5509843237758
PCL,LIM,491.3431736689255
PCL,TPP,287.29056839051833
PEM,CUZ,310.9345705025523
TPP,IQT,454.8584413962523
TPP,LIM,618.4026366573572
TPP,PCL,287.29056839051833
ABJ,BOY,657.4155142026553
ABJ,OUA,831.9292485492952
ACC,OUA,764.7435915390756
BKO,ABJ,921.3968496760019
BKO,DKR,1059.572896549398
BKO,OUA,699.2746613949099
BOY,ABJ,657.4155142026553
BOY,OUA,334.27942541126396
COO,LFW,126.68759958642458
COO,OUA,791.9115063686675
DKR,BKO,1059.572896549398
DKR,OUA,1747.0377326523658
LFW,OUA,751.994235629612
NIM,OUA,419.75653188291676
OUA,ABJ,831.9292485492952
OUA,ACC,764.7435915390756
OUA,BKO,699.2746613949099
OUA,BOY,334.27942541126396
OUA,COO,791.9115063686675
OUA,DKR,1747.0377326523658
OUA,LFW,751.994235629612
OUA,NIM,419.75653188291676
BOG,GYE,993.9367015924178
BOG,UIO,712.2258461157587
CLO,GYE,743.8381390819062
GYE,BOG,993.9367015924178
GYE,CLO,743.8381390819062
GYE,SCY,1090.7914101682509
GYE,UIO,282.2165067306623
OCC,UIO,156.86481059751827
SCY,GYE,1090.7914101682509
UIO,BOG,712.2258461157587
UIO,GYE,282.2165067306623
UIO,OCC,156.86481059751827
BDS,ZRH,1064.7408432924565
BOD,ZRH,770.9701783806113
BRS,ZRH,922.7610697261699
GVA,LPA,2771.1146261753797
LCA,ZRH,2505.174815335636
LPA,ZRH,3001.1763973292987
RMF,ZRH,3337.4412676884804
TFS,GVA,2832.3422605556666
ZRH,BDS,1064.7408432924565
ZRH,BOD,770.9701783806113
ZRH,BRS,922.7610697261699
ZRH,LCA,2505.174815335636
ZRH,LPA,3001.1763973292987
ZRH,RMF,3337.4412676884804
AJR,LYC,118.85904094007256
ARN,GEV,843.9758148468107
ARN,HAD,444.4784372618803
ARN,JKG,306.2054197734869
ARN,KRF,377.77962351832605
ARN,KSD,259.14683110204675
ARN,LYC,546.0229776499885
ARN,MHQ,122.18564500712071
ARN,OER,421.5199429806082
ARN,POR,292.3265699251817
ARN,TRF,436.1582874294317
ARN,VBY,222.55517159028483
ARN,VHM,550.7566446512764
ARN,VXO,355.49050697254944
GEV,ARN,843.9758148468107
GEV,KRF,475.83525850542134
HAD,ARN,444.4784372618803
HAD,JKG,140.39235940112985
HAD,VXO,119.10046954751851
HMV,VHM,159.00438759313693
JKG,ARN,306.2054197734869
JKG,HAD,140.39235940112985
KOK,POR,260.46635412823105
KRF,ARN,377.77962351832605
KRF,GEV,475.83525850542134
KSD,ARN,259.14683110204675
LYC,AJR,118.85904094007256
LYC,ARN,546.0229776499885
MHQ,ARN,122.18564500712071
MHQ,TKU,137.28935130200296
OER,ARN,421.5199429806082
OSL,VXO,414.0599300188711
POR,ARN,292.3265699251817
POR,KOK,260.46635412823105
TKU,MHQ,137.28935130200296
TRF,ARN,436.1582874294317
VBY,ARN,222.55517159028483
VHM,ARN,550.7566446512764
VHM,HMV,159.00438759313693
VXO,ARN,355.49050697254944
VXO,OSL,414.0599300188711
ADQ,KLN,91.48827084792852
KLN,KYK,28.38402958681258
BSO,MNL,668.5873317352389
BXU,MNL,785.6636043607376
CBO,MNL,887.6554018895711
CGY,MNL,754.9091164699981
CRM,MNL,450.1057300369508
DGT,MNL,626.5736881526625
DWC,MNL,6929.057653383128
GES,MNL,1039.9236312136563
KLO,MNL,347.17620190869707
LGP,MNL,329.38623112998755
MNL,BSO,668.5873317352389
MNL,BXU,785.6636043607376
MNL,CBO,887.6554018895711
MNL,CGY,754.9091164699981
MNL,CRM,450.1057300369508
MNL,DGT,626.5736881526625
MNL,DWC,6929.057653383128
MNL,GES,1039.9236312136563
MNL,KLO,347.17620190869707
MNL,LGP,329.38623112998755
MNL,MPH,304.60455408669264
MNL,OZC,768.10565415533
MNL,PPS,584.1982735894983
MNL,RXS,374.10812080353105
MNL,SUG,717.1596451776982
MNL,TUG,356.799048247548
MNL,ZAM,851.1508232458168
MPH,MNL,304.60455408669264
OZC,MNL,768.10565415533
PPS,MNL,584.1982735894983
RXS,MNL,374.10812080353105
SUG,MNL,717.1596451776982
TUG,MNL,356.799048247548
ZAM,MNL,851.1508232458168
AUX,PMW,340.90055757602914
BRA,BSB,525.6465787320147
BRA,SSA,731.7115488741829
BSB,BRA,525.6465787320147
BSB,OPS,938.3890741999669
BSB,RAO,585.8853682415156
CAC,GRU,733.4994595166997
CGB,GYN,744.5253175834697
CGB,OPS,422.8702531019859
CGR,DOU,194.51151952327237
DOU,CGR,194.51151952327237
DOU,GRU,877.0738733404154
GIG,RAO,502.41661662456556
GRU,CAC,733.4994595166997
GRU,DOU,877.0738733404154
GRU,RAO,288.6975105427224
GRU,UBA,436.3766546982135
GRU,UDI,537.7555229439891
GRU,VDC,1120.2772704783356
GYN,CGB,744.5253175834697
GYN,PMW,711.1838829811212
GYN,RAO,523.3844820462187
GYN,UDI,271.6503046090855
OPS,BSB,938.3890741999669
OPS,CGB,422.8702531019859
PLU,RAO,423.34209165541245
PMW,AUX,340.90055757602914
PMW,GYN,711.1838829811212
RAO,BSB,585.8853682415156
RAO,GIG,502.41661662456556
RAO,GRU,288.6975105427224
RAO,GYN,523.3844820462187
RAO,PLU,423.34209165541245
RAO,SJP,172.91334607389948
RAO,UDI,254.84403140709634
SJP,RAO,172.91334607389948
SSA,BRA,731.7115488741829
SSA,VDC,349.88434603325885
UBA,GRU,436.3766546982135
UBA,UDI,101.67905335923881
UDI,GRU,537.7555229439891
UDI,GYN,271.6503046090855
UDI,RAO,254.84403140709634
UDI,UBA,101.67905335923881
VDC,GRU,1120.2772704783356
VDC,SSA,349.88434603325885
BRL,ORD,299.7634210864198
BRL,STL,235.25890892252008
DEC,ORD,251.70224645238423
DEC,STL,177.02213163997635
JBR,STL,325.27510641767344
ORD,BRL,299.7634210864198
ORD,DEC,251.70224645238423
STL,BRL,235.25890892252008
STL,DEC,177.02213163997635
STL,JBR,325.27510641767344
KTN,MTM,26.420297805135977
MTM,KTN,26.420297805135977
ACC,DKR,2148.7762160006223
ACC,LOS,400.5113560306327
ACC,ROB,1129.7869062549644
BCN,BJL,3599.883987412828
BJL,BCN,3599.883987412828
BJL,DKR,180.17842014822085
BJL,FNA,646.474686153414
CKY,OXB,340.84413638785173
DKR,ACC,2148.7762160006223
DKR,BJL,180.17842014822085
DKR,DLA,3209.821255927227
DKR,FNA,825.8702598369771
DKR,LOS,2446.2274338170846
DKR,OXB,373.56297453325493
DLA,DKR,3209.821255927227
DLA,LOS,763.8894162213929
FNA,BJL,646.474686153414
FNA,DKR,825.8702598369771
FNA,LGW,4877.379910902019
FNA,ROB,409.5954725444467
LGW,FNA,4877.379910902019
LOS,ACC,400.5113560306327
LOS,DKR,2446.2274338170846
LOS,DLA,763.8894162213929
LOS,ROB,1512.4677670407923
OXB,CKY,340.84413638785173
OXB,DKR,373.56297453325493
ROB,ACC,1129.7869062549644
ROB,FNA,409.5954725444467
ROB,LOS,1512.4677670407923
AKV,YIK,178.15858867570353
AKV,YPX,97.60920555505572
XGR,YVP,157.43681058143676
YGL,YGW,184.24751289672542
YGL,YPX,714.9073275195562
YGL,YUL,950.394277757438
YGW,YGL,184.24751289672542
YGW,YPH,355.2159702526125
YGW,YSK,167.4022483245084
YGW,YUD,159.6485787589167
YGW,YUL,1127.1934356042773
YGW,YUY,790.2106084867936
YIK,AKV,178.15858867570353
YIK,YZG,119.67666562410542
YKG,YPJ,84.26943918161045
YKG,YQC,115.2330616216065
YKG,YVP,232.76556466932223
YKL,YQB,947.1713858486459
YKL,YVP,379.2177243097165
YKL,YWK,209.46035842226357
YKL,YZV,510.7982145662476
YPH,YPX,181.19066723954933
YPH,YUD,234.5100444081195
YPH,YVP,565.1572424675221
YPJ,YKG,84.26943918161045
YPJ,YTQ,72.84606453466075
YPJ,YVP,149.70564983084122
YPX,AKV,97.60920555505572
YPX,YGL,714.9073275195562
YPX,YPH,181.19066723954933
YPX,YVP,550.4466421335802
YQB,YKL,947.1713858486459
YQB,YUL,232.97025210166106
YQC,YKG,115.2330616216065
YQC,YWB,137.30057823453058
YSK,YGW,167.4022483245084
YSK,YUD,167.2745099621847
YTQ,YPJ,72.84606453466075
YTQ,YVP,109.47031701019387
YUD,YGW,159.6485787589167
YUD,YPH,234.5100444081195
YUD,YSK,167.2745099621847
YUL,YGL,950.394277757438
YUL,YGW,1127.1934356042773
YUL,YQB,232.97025210166106
YUL,YUY,492.46633238735086
YUY,YGW,790.2106084867936
YUY,YUL,492.46633238735086
YVP,XGR,157.43681058143676
YVP,YGW,649.6913188905355
YVP,YKG,232.76556466932223
YVP,YKL,379.2177243097165
YVP,YPH,565.1572424675221
YVP,YPJ,149.70564983084122
YVP,YPX,550.4466421335802
YVP,YTQ,109.47031701019387
YWB,YQC,137.30057823453058
YWB,YZG,206.55478321465947
YWK,YKL,209.46035842226357
YWK,YZV,302.9078534005295
YZG,YIK,119.67666562410542
YZG,YWB,206.55478321465947
YZV,YKL,510.7982145662476
YZV,YWK,302.9078534005295
JIB,DXB,1992.387513775767
JIB,JED,1204.4441120243846
JIB,MGQ,1086.086007934484
MGQ,NBO,1002.3806528744385
NBO,MGQ,1002.3806528744385
BKK,SIN,1416.9035648215133
DRW,SIN,3339.1226366067626
HAK,SIN,2182.844838710807
HGH,SIN,3650.0347636069755
HKG,SIN,2565.5757784902503
HKT,SIN,980.2218989938143
KIX,MNL,2634.794394513902
KIX,TPE,1702.9337846319083
KUL,SIN,297.47222254317137
MNL,KIX,2634.794394513902
MNL,SIN,2374.851647744406
PEN,SIN,602.3293429786164
PER,SIN,3910.768634128117
PNH,SIN,1137.661658482279
REP,SIN,1341.2154539358335
RGN,SIN,1931.909473583761
SGN,SIN,1093.016647361484
SIN,BKK,1416.9035648215133
SIN,DRW,3339.1226366067626
SIN,HAK,2182.844838710807
SIN,HGH,3650.0347636069755
SIN,HKG,2565.5757784902503
SIN,HKT,980.2218989938143
SIN,KUL,297.47222254317137
SIN,MNL,2374.851647744406
SIN,PEN,602.3293429786164
SIN,PER,3910.768634128117
SIN,PNH,1137.661658482279
SIN,REP,1341.2154539358335
SIN,RGN,1931.909473583761
SIN,SGN,1093.016647361484
SIN,SWA,2812.9254804803086
SIN,TPE,3222.3828837296046
SWA,SIN,2812.9254804803086
TPE,KIX,1702.9337846319083
TPE,SIN,3222.3828837296046
ACH,EBA,528.0477740811091
DRS,ZRH,556.0760974015303
DUS,FDH,448.4569213226282
EBA,ACH,528.0477740811091
EBA,FDH,549.0393898748847
EBA,MUC,633.4820175620449
EBA,ZRH,539.621197131775
FDH,DUS,448.4569213226282
FDH,EBA,549.0393898748847
FDH,HAM,663.4696987641304
FDH,OLB,753.0786935544605
FDH,TXL,606.393373898006
FDH,ZAD,600.467645179579
FMM,NAP,852.4672741359705
GRZ,ZRH,522.7845543929949
HAM,FDH,663.4696987641304
MUC,EBA,633.4820175620449
NAP,FMM,852.4672741359705
OLB,FDH,753.0786935544605
SZG,ZRH,335.8018235477209
TXL,FDH,606.393373898006
ZAD,FDH,600.467645179579
ZRH,DRS,556.0760974015303
ZRH,EBA,539.621197131775
ZRH,GRZ,522.7845543929949
ZRH,SZG,335.8018235477209
ATL,LWB,593.6018156374658
ATL,MCN,127.56214982134829
ATL,MEI,428.5226936127187
ATL,MSL,317.55910886456644
ATL,PIB,519.4254219961723
ATL,TUP,406.5452203978709
BIM,FLL,98.02452722937417
ELH,FLL,353.66959623990005
ELH,PBI,366.29006168216927
EYW,FLL,233.49785480727994
EYW,RSW,220.17737373370994
EYW,TPA,387.9620401160833
FLL,BIM,98.02452722937417
FLL,ELH,353.66959623990005
FLL,EYW,233.49785480727994
FLL,FPO,154.96198748548977
FLL,GGT,513.7730602617561
FLL,GHB,392.85965698360343
FLL,MCO,285.90139605879926
FLL,MHH,309.83100753883144
FLL,TCB,284.99425375123343
FLL,TPA,316.79935021492815
FPO,FLL,154.96198748548977
GGT,FLL,513.7730602617561
GGT,GHB,196.90418041738073
GHB,FLL,392.85965698360343
GLH,TUP,222.40049985391724
GNV,MCO,168.54706771715425
GNV,TPA,192.34746297189716
JAX,MHH,631.1732893354424
JAX,TPA,291.81588713307895
LWB,ATL,593.6018156374658
MCN,ATL,127.56214982134829
MCN,MCO,524.3084919130907
MCO,FLL,285.90139605879926
MCO,GNV,168.54706771715425
MCO,MCN,524.3084919130907
MCO,MHH,468.21508892408
MCO,PNS,612.6977112397853
MCO,RSW,215.06598391292644
MCO,TLH,366.88387211461196
MEI,ATL,428.5226936127187
MHH,FLL,309.83100753883144
MHH,JAX,631.1732893354424
MHH,MCO,468.21508892408
MHH,PBI,300.0872540500142
MSL,ATL,317.55910886456644
PBI,ELH,366.29006168216927
PBI,MHH,300.0872540500142
PBI,TPA,280.4016571063714
PIB,ATL,519.4254219961723
PNS,MCO,612.6977112397853
PNS,TPA,530.0707250294574
RSW,EYW,220.17737373370994
RSW,MCO,215.06598391292644
TCB,FLL,284.99425375123343
TLH,MCO,366.88387211461196
TLH,TPA,321.83470054698006
TPA,EYW,387.9620401160833
TPA,FLL,316.79935021492815
TPA,GNV,192.34746297189716
TPA,JAX,291.81588713307895
TPA,PBI,280.4016571063714
TPA,PNS,530.0707250294574
TPA,TLH,321.83470054698006
TUP,ATL,406.5452203978709
TUP,GLH,222.40049985391724
AMS,NDR,2022.5063348499675
AMS,TNG,2026.9577468574728
BCN,CMN,1226.5156377027934
BCN,NDR,831.1729220730673
BCN,TNG,930.6748512344733
BGY,CMN,2010.0845006579355
BLQ,CMN,2042.6883388806168
BRU,CMN,2182.663804503276
BRU,NDR,1869.6961753398928
BRU,TNG,1881.2450006106021
CGN,NDR,1945.7375681288163
CMN,BCN,1226.5156377027934
CMN,BGY,2010.0845006579355
CMN,BLQ,2042.6883388806168
CMN,BRU,2182.663804503276
CMN,CUF,1804.2590542773128
CMN,LGW,2066.2017017865037
CMN,LYS,1747.2148427683976
CMN,MPL,1513.6161819243837
CMN,SAW,3349.8310748861377
CMN,TLS,1379.8265417638324
CMN,TSF,2168.0414889157164
CUF,CMN,1804.2590542773128
FEZ,MPL,1321.9774272879222
LGW,CMN,2066.2017017865037
LGW,TNG,1774.6329684802379
LYS,CMN,1747.2148427683976
MPL,CMN,1513.6161819243837
MPL,FEZ,1321.9774272879222
MPL,NDR,1127.6691268468348
NDR,AMS,2022.5063348499675
NDR,BCN,831.1729220730673
NDR,BRU,1869.6961753398928
NDR,CGN,1945.7375681288163
NDR,MPL,1127.6691268468348
NDR,PMI,719.2942027541073
PMI,NDR,719.2942027541073
SAW,CMN,3349.8310748861377
TLS,CMN,1379.8265417638324
TNG,AMS,2026.9577468574728
TNG,BCN,930.6748512344733
TNG,BRU,1881.2450006106021
TNG,LGW,1774.6329684802379
TSF,CMN,2168.0414889157164
AUA,LSP,81.48817990942575
AUA,MAR,285.48538672360223
BON,CUR,75.41962012396885
CUR,AUA,119.79153936356269
LSP,AUA,81.48817990942575
MAR,AUA,285.48538672360223
ASF,DME,1235.2380422748795
ASF,LED,1902.0748744480443
BHK,DME,2615.6552278795057
DME,ASF,1235.2380422748795
DME,BHK,2615.6552278795057
DME,EGO,537.0795527366757
DME,FEG,2982.361522753397
