source,source_country,destination,destination_country,distance_km
AER,Russia,KZN,Russia,1506.825604458928
ASF,Russia,KZN,Russia,1040.4383197669076
ASF,Russia,MRV,Russia,448.164908709546
CEK,Russia,KZN,Russia,770.5085001497805
CEK,Russia,OVB,Russia,1338.6314665862067
DME,Russia,KZN,Russia,715.6493504840489
DME,Russia,NBC,Russia,892.3827877543458
DME,Russia,TGK,Russia,915.2891395770905
DME,Russia,UUA,Russia,951.4321982829719
EGO,Russia,KGD,Russia,1171.881495283767
EGO,Russia,KZN,Russia,1008.2531100895807
GYD,Azerbaijan,NBC,Russia,1685.4265243719858
KGD,Russia,EGO,Russia,1171.881495283767
KZN,Russia,AER,Russia,1506.825604458928
KZN,Russia,ASF,Russia,1040.4383197669076
KZN,Russia,CEK,Russia,770.5085001497805
KZN,Russia,DME,Russia,715.6493504840489
KZN,Russia,EGO,Russia,1008.2531100895807
KZN,Russia,LED,Russia,1216.8445674824818
KZN,Russia,SVX,Russia,723.523203520023
LED,Russia,KZN,Russia,1216.8445674824818
LED,Russia,NBC,Russia,1372.8864143629512
LED,Russia,UUA,Russia,1464.056935072568
MRV,Russia,ASF,Russia,448.164908709546
NBC,Russia,DME,Russia,892.3827877543458
NBC,Russia,GYD,Azerbaijan,1685.4265243719858
NBC,Russia,LED,Russia,1372.8864143629512
NBC,Russia,SVX,Russia,554.703359662419
NJC,Russia,SVX,Russia,1012.602713576116
NJC,Russia,UUA,Russia,1557.1718220176438
NUX,Russia,SVX,Russia,1324.6117527543267
OVB,Russia,CEK,Russia,1338.6314665862067
OVB,Russia,SVX,Russia,1370.297258632382
SVX,Russia,KZN,Russia,723.523203520023
SVX,Russia,NBC,Russia,554.703359662419
SVX,Russia,NJC,Russia,1012.602713576116
SVX,Russia,NUX,Russia,1324.6117527543267
SVX,Russia,OVB,Russia,1370.297258632382
TGK,Russia,DME,Russia,915.2891395770905
UUA,Russia,DME,Russia,951.4321982829719
UUA,Russia,LED,Russia,1464.056935072568
UUA,Russia,NJC,Russia,1557.1718220176438
BTK,Russia,IKT,Russia,488.33962159397527
BTK,Russia,OVB,Russia,1199.3591559200308
CEK,Russia,OVB,Russia,1338.6314665862067
HTA,Russia,IKT,Russia,608.6430610264199
IKT,Russia,BTK,Russia,488.33962159397527
IKT,Russia,HTA,Russia,608.6430610264199
IKT,Russia,KCK,Russia,655.1854494872141
IKT,Russia,ODO,Russia,882.1865409507233
IKT,Russia,OVB,Russia,1458.824309959064
IKT,Russia,UKX,Russia,517.4862726798776
IKT,Russia,ULK,Russia,1134.5379651044464
IKT,Russia,YKS,Russia,1860.0151515722384
KCK,Russia,IKT,Russia,655.1854494872141
MJZ,Russia,OVB,Russia,1967.4878944895404
ODO,Russia,IKT,Russia,882.1865409507233
OVB,Russia,BTK,Russia,1199.3591559200308
OVB,Russia,CEK,Russia,1338.6314665862067
OVB,Russia,IKT,Russia,1458.824309959064
UKX,Russia,IKT,Russia,517.4862726798776
ULK,Russia,IKT,Russia,1134.5379651044464
YKS,Russia,IKT,Russia,1860.0151515722384
AYP,Peru,LIM,Peru,339.9806104707811
CUZ,Peru,LIM,Peru,585.9080251433812
CUZ,Peru,PEM,Peru,310.9345705025523
HUU,Peru,LIM,Peru,258.1561031529866
IQT,Peru,PCL,Peru,529.5509843237758
IQT,Peru,TPP,Peru,454.8584413962523
LIM,Peru,AYP,Peru,339.9806104707811
LIM,Peru,CUZ,Peru,585.9080251433812
LIM,Peru,HUU,Peru,258.1561031529866
LIM,Peru,PCL,Peru,491.3431736689255
LIM,Peru,TPP,Peru,618.4026366573572
PCL,Peru,IQT,Peru,529.5509843237758
PCL,Peru,LIM,Peru,491.3431736689255
PCL,Peru,TPP,Peru,287.29056839051833
PEM,Peru,CUZ,Peru,310.9345705025523
TPP,Peru,IQT,Peru,454.8584413962523
TPP,Peru,LIM,Peru,618.4026366573572
TPP,Peru,PCL,Peru,287.29056839051833
ABJ,Cote d'Ivoire,BOY,Burkina Faso,657.4155142026553
ABJ,Cote d'Ivoire,OUA,Burkina Faso,831.9292485492952
ACC,Ghana,OUA,Burkina Faso,764.7435915390756
BKO,Mali,ABJ,Cote d'Ivoire,921.3968496760019
BKO,Mali,DKR,Senegal,1059.572896549398
BKO,Mali,OUA,Burkina Faso,699.2746613949099
BOY,Burkina Faso,ABJ,Cote d'Ivoire,657.4155142026553
BOY,Burkina Faso,OUA,Burkina Faso,334.27942541126396
COO,Benin,LFW,Togo,126.68759958642458
COO,Benin,OUA,Burkina Faso,791.9115063686675
DKR,Senegal,BKO,Mali,1059.572896549398
DKR,Senegal,OUA,Burkina Faso,1747.0377326523658
LFW,Togo,OUA,Burkina Faso,751.994235629612
NIM,Niger,OUA,Burkina Faso,419.75653188291676
OUA,Burkina Faso,ABJ,Cote d'Ivoire,831.9292485492952
OUA,Burkina Faso,ACC,Ghana,764.7435915390756
OUA,Burkina Faso,BKO,Mali,699.2746613949099
OUA,Burkina Faso,BOY,Burkina Faso,334.27942541126396
OUA,Burkina Faso,COO,Benin,791.9115063686675
OUA,Burkina Faso,DKR,Senegal,1747.0377326523658
