source,source_country,source_region,destination,destination_country,destination_region,distance_km
AER,Russia,RUS,KZN,Russia,RUS,1506.825604458928
ASF,Russia,RUS,KZN,Russia,RUS,1040.4383197669076
ASF,Russia,RUS,MRV,Russia,RUS,448.164908709546
CEK,Russia,RUS,KZN,Russia,RUS,770.5085001497805
CEK,Russia,RUS,OVB,Russia,RUS,1338.6314665862067
DME,Russia,RUS,KZN,Russia,RUS,715.6493504840489
DME,Russia,RUS,NBC,Russia,RUS,892.3827877543458
DME,Russia,RUS,TGK,Russia,RUS,915.2891395770905
DME,Russia,RUS,UUA,Russia,RUS,951.4321982829719
EGO,Russia,RUS,KGD,Russia,RUS,1171.881495283767
EGO,Russia,RUS,KZN,Russia,RUS,1008.2531100895807
GYD,Azerbaijan,ASC,NBC,Russia,RUS,1685.4265243719858
KGD,Russia,RUS,EGO,Russia,RUS,1171.881495283767
KZN,Russia,RUS,AER,Russia,RUS,1506.825604458928
KZN,Russia,RUS,ASF,Russia,RUS,1040.4383197669076
KZN,Russia,RUS,CEK,Russia,RUS,770.5085001497805
KZN,Russia,RUS,DME,Russia,RUS,715.6493504840489
KZN,Russia,RUS,EGO,Russia,RUS,1008.2531100895807
KZN,Russia,RUS,LED,Russia,RUS,1216.8445674824818
KZN,Russia,RUS,SVX,Russia,RUS,723.523203520023
LED,Russia,RUS,KZN,Russia,RUS,1216.8445674824818
LED,Russia,RUS,NBC,Russia,RUS,1372.8864143629512
LED,Russia,RUS,UUA,Russia,RUS,1464.056935072568
MRV,Russia,RUS,ASF,Russia,RUS,448.164908709546
NBC,Russia,RUS,DME,Russia,RUS,892.3827877543458
NBC,Russia,RUS,GYD,Azerbaijan,ASC,1685.4265243719858
NBC,Russia,RUS,LED,Russia,RUS,1372.8864143629512
NBC,Russia,RUS,SVX,Russia,RUS,554.703359662419
NJC,Russia,RUS,SVX,Russia,RUS,1012.602713576116
NJC,Russia,RUS,UUA,Russia,RUS,1557.1718220176438
NUX,Russia,RUS,SVX,Russia,RUS,1324.6117527543267
OVB,Russia,RUS,CEK,Russia,RUS,1338.6314665862067
OVB,Russia,RUS,SVX,Russia,RUS,1370.297258632382
SVX,Russia,RUS,KZN,Russia,RUS,723.523203520023
SVX,Russia,RUS,NBC,Russia,RUS,554.703359662419
SVX,Russia,RUS,NJC,Russia,RUS,1012.602713576116
SVX,Russia,RUS,NUX,Russia,RUS,1324.6117527543267
SVX,Russia,RUS,OVB,Russia,RUS,1370.297258632382
TGK,Russia,RUS,DME,Russia,RUS,915.2891395770905
UUA,Russia,RUS,DME,Russia,RUS,951.4321982829719
UUA,Russia,RUS,LED,Russia,RUS,1464.056935072568
UUA,Russia,RUS,NJC,Russia,RUS,1557.1718220176438
BTK,Russia,RUS,IKT,Russia,RUS,488.33962159397527
BTK,Russia,RUS,OVB,Russia,RUS,1199.3591559200308
CEK,Russia,RUS,OVB,Russia,RUS,1338.6314665862067
HTA,Russia,RUS,IKT,Russia,RUS,608.6430610264199
IKT,Russia,RUS,BTK,Russia,RUS,488.33962159397527
IKT,Russia,RUS,HTA,Russia,RUS,608.6430610264199
IKT,Russia,RUS,KCK,Russia,RUS,655.1854494872141
IKT,Russia,RUS,ODO,Russia,RUS,882.1865409507233
IKT,Russia,RUS,OVB,Russia,RUS,1458.824309959064
IKT,Russia,RUS,UKX,Russia,RUS,517.4862726798776
IKT,Russia,RUS,ULK,Russia,RUS,1134.5379651044464
IKT,Russia,RUS,YKS,Russia,RUS,1860.0151515722384
KCK,Russia,RUS,IKT,Russia,RUS,655.1854494872141
MJZ,Russia,RUS,OVB,Russia,RUS,1967.4878944895404
ODO,Russia,RUS,IKT,Russia,RUS,882.1865409507233
OVB,Russia,RUS,BTK,Russia,RUS,1199.3591559200308
OVB,Russia,RUS,CEK,Russia,RUS,1338.6314665862067
OVB,Russia,RUS,IKT,Russia,RUS,1458.824309959064
UKX,Russia,RUS,IKT,Russia,RUS,517.4862726798776
ULK,Russia,RUS,IKT,Russia,RUS,1134.5379651044464
YKS,Russia,RUS,IKT,Russia,RUS,1860.0151515722384
AYP,Peru,LAM,LIM,Peru,LAM,339.9806104707811
CUZ,Peru,LAM,LIM,Peru,LAM,585.9080251433812
CUZ,Peru,LAM,PEM,Peru,LAM,310.9345705025523
HUU,Peru,LAM,LIM,Peru,LAM,258.1561031529866
IQT,Peru,LAM,PCL,Peru,LAM,529.5509843237758
IQT,Peru,LAM,TPP,Peru,LAM,454.8584413962523
LIM,Peru,LAM,AYP,Peru,LAM,339.9806104707811
LIM,Peru,LAM,CUZ,Peru,LAM,585.9080251433812
LIM,Peru,LAM,HUU,Peru,LAM,258.1561031529866
LIM,Peru,LAM,PCL,Peru,LAM,491.3431736689255
LIM,Peru,LAM,TPP,Peru,LAM,618.4026366573572
PCL,Peru,LAM,IQT,Peru,LAM,529.5509843237758
PCL,Peru,LAM,LIM,Peru,LAM,491.3431736689255
PCL,Peru,LAM,TPP,Peru,LAM,287.29056839051833
PEM,Peru,LAM,CUZ,Peru,LAM,310.9345705025523
TPP,Peru,LAM,IQT,Peru,LAM,454.8584413962523
TPP,Peru,LAM,LIM,Peru,LAM,618.4026366573572
TPP,Peru,LAM,PCL,Peru,LAM,287.29056839051833
ABJ,Cote d'Ivoire,AFW,BOY,Burkina Faso,AFW,657.4155142026553
ABJ,Cote d'Ivoire,AFW,OUA,Burkina Faso,AFW,831.9292485492952
ACC,Ghana,AFW,OUA,Burkina Faso,AFW,764.7435915390756
BKO,Mali,AFW,ABJ,Cote d'Ivoire,AFW,921.3968496760019
BKO,Mali,AFW,DKR,Senegal,AFW,1059.572896549398
BKO,Mali,AFW,OUA,Burkina Faso,AFW,699.2746613949099
BOY,Burkina Faso,AFW,ABJ,Cote d'Ivoire,AFW,657.4155142026553
BOY,Burkina Faso,AFW,OUA,Burkina Faso,AFW,334.27942541126396
COO,Benin,AFW,LFW,Togo,AFW,126.68759958642458
COO,Benin,AFW,OUA,Burkina Faso,AFW,791.9115063686675
DKR,Senegal,AFW,BKO,Mali,AFW,1059.572896549398
DKR,Senegal,AFW,OUA,Burkina Faso,AFW,1747.0377326523658
LFW,Togo,AFW,OUA,Burkina Faso,AFW,751.994235629612
NIM,Niger,AFW,OUA,Burkina Faso,AFW,419.75653188291676
OUA,Burkina Faso,AFW,ABJ,Cote d'Ivoire,AFW,831.9292485492952
OUA,Burkina Faso,AFW,ACC,Ghana,AFW,764.7435915390756
OUA,Burkina Faso,AFW,BKO,Mali,AFW,699.2746613949099
OUA,Burkina Faso,AFW,BOY,Burkina Faso,AFW,334.27942541126396
OUA,Burkina Faso,AFW,COO,Benin,AFW,791.9115063686675
OUA,Burkina Faso,AFW,DKR,Senegal,AFW,1747.0377326523658
OUA,Burkina Faso,AFW,LFW,Togo,AFW,751.994235629612
OUA,Burkina Faso,AFW,NIM,Niger,AFW,419.75653188291676
BOG,Colombia,LAM,GYE,Ecuador,LAM,993.9367015924178
BOG,Colombia,LAM,UIO,Ecuador,LAM,712.2258461157587
CLO,Colombia,LAM,GYE,Ecuador,LAM,743.8381390819062
GYE,Ecuador,LAM,BOG,Colombia,LAM,993.9367015924178
GYE,Ecuador,LAM,CLO,Colombia,LAM,743.8381390819062
GYE,Ecuador,LAM,SCY,Ecuador,LAM,1090.7914101682509
GYE,Ecuador,LAM,UIO,Ecuador,LAM,282.2165067306623
OCC,Ecuador,LAM,UIO,Ecuador,LAM,156.86481059751827
SCY,Ecuador,LAM,GYE,Ecuador,LAM,1090.7914101682509
UIO,Ecuador,LAM,BOG,Colombia,LAM,712.2258461157587
UIO,Ecuador,LAM,GYE,Ecuador,LAM,282.2165067306623
UIO,Ecuador,LAM,OCC,Ecuador,LAM,156.86481059751827
BDS,Italy,EUM,ZRH,Switzerland,ENW,1064.7408432924565
BOD,France,EUM,ZRH,Switzerland,ENW,770.9701783806113
BRS,United Kingdom,ENW,ZRH,Switzerland,ENW,922.7610697261699
GVA,Switzerland,ENW,LPA,Spain,EUM,2771.1146261753797
LCA,Cyprus,EUM,ZRH,Switzerland,ENW,2505.174815335636
LPA,Spain,EUM,ZRH,Switzerland,ENW,3001.1763973292987
RMF,Egypt,AFN,ZRH,Switzerland,ENW,3337.4412676884804
TFS,Spain,EUM,GVA,Switzerland,ENW,2832.3422605556666
ZRH,Switzerland,ENW,BDS,Italy,EUM,1064.7408432924565
ZRH,Switzerland,ENW,BOD,France,EUM,770.9701783806113
ZRH,Switzerland,ENW,BRS,United Kingdom,ENW,922.7610697261699
ZRH,Switzerland,ENW,LCA,Cyprus,EUM,2505.174815335636
ZRH,Switzerland,ENW,LPA,Spain,EUM,3001.1763973292987
ZRH,Switzerland,ENW,RMF,Egypt,AFN,3337.4412676884804
AJR,Sweden,EUW,LYC,Sweden,EUW,118.85904094007256
